[2023-08-03 18:45:14,740] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:45:14,740] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:45:15,072] INFO in util: child process calling self.run()
[2023-08-03 18:48:28,904] INFO in util: process shutting down
[2023-08-03 18:48:28,904] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:48:28,904] INFO in util: calling join() for process Process-1
[2023-08-03 18:48:28,956] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:48:30,868] INFO in util: child process calling self.run()
[2023-08-03 18:50:57,565] INFO in util: process shutting down
[2023-08-03 18:50:57,565] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:50:57,566] INFO in util: calling join() for process Process-1
[2023-08-03 18:50:57,568] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:50:57,902] INFO in util: child process calling self.run()
[2023-08-03 18:51:12,990] INFO in util: process shutting down
[2023-08-03 18:51:12,990] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:51:12,991] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:51:13,312] INFO in util: child process calling self.run()
[2023-08-03 18:51:18,365] INFO in util: process shutting down
[2023-08-03 18:51:18,365] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:51:18,365] INFO in util: calling join() for process Process-1
[2023-08-03 18:51:18,367] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:51:18,703] INFO in util: child process calling self.run()
[2023-08-03 18:51:44,890] INFO in util: process shutting down
[2023-08-03 18:51:44,891] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:51:44,891] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:51:45,436] INFO in util: process shutting down
[2023-08-03 18:51:45,436] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:51:45,436] INFO in util: calling join() for process Process-1
[2023-08-03 18:51:45,444] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:53:04,364] INFO in util: child process calling self.run()
[2023-08-03 18:53:06,248] INFO in util: child process calling self.run()
[2023-08-03 18:53:48,276] INFO in util: process shutting down
[2023-08-03 18:53:48,276] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:53:48,276] INFO in util: calling join() for process Process-1
[2023-08-03 18:53:48,278] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:53:50,360] INFO in util: child process calling self.run()
[2023-08-03 18:58:21,351] INFO in util: process shutting down
[2023-08-03 18:58:21,351] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:58:21,352] DEBUG in util: running the remaining "atexit" finalizers
[2023-08-03 18:58:28,133] INFO in util: process shutting down
[2023-08-03 18:58:28,133] DEBUG in util: running all "atexit" finalizers with priority >= 0
[2023-08-03 18:58:28,133] INFO in util: calling join() for process Process-1
[2023-08-03 18:58:28,185] DEBUG in util: running the remaining "atexit" finalizers
